,year,month,day,price
117,2020,1,1,139.792961256037
118,2020,1,2,138.973325103062
119,2020,1,3,136.082584368667
120,2020,1,4,135.048169684155
121,2020,1,5,134.708701301561
122,2020,1,6,134.621027594864
123,2020,1,7,134.502653658966
124,2020,1,8,136.402441442831
125,2020,1,9,136.45361597109
126,2020,1,10,134.345547432397
127,2020,1,11,134.275467958599
128,2020,1,12,134.323401818943
129,2020,1,13,134.312831692762
130,2020,1,14,134.598379247319
131,2020,1,15,136.533656494436
132,2020,1,16,136.635163721299
133,2020,1,17,134.638325515844
134,2020,1,18,134.597463225579
135,2020,1,19,134.613036776041
136,2020,1,20,134.592635821093
137,2020,1,21,134.581435807091
138,2020,1,22,136.528809077889
139,2020,1,23,136.582543739809
140,2020,1,24,134.63697423475
141,2020,1,25,134.625985465756
142,2020,1,26,134.612548725967
143,2020,1,27,134.631224260577
144,2020,1,28,134.649533121917
145,2020,1,29,136.611149058059
146,2020,1,30,136.62108858528
147,2020,1,31,134.660603391323
148,2020,2,1,134.655479949792
149,2020,2,2,134.713102840784
150,2020,2,3,134.724317896545
151,2020,2,4,134.703684129396
152,2020,2,5,136.742250324969
153,2020,2,6,136.752038253052
154,2020,2,7,134.694098216252
155,2020,2,8,134.681604968178
156,2020,2,9,134.751943447334
157,2020,2,10,134.744103591799
158,2020,2,11,134.737651126429
159,2020,2,12,136.902538451368
160,2020,2,13,137.037132531183
161,2020,2,14,134.951196952012
162,2020,2,15,134.842487776946
163,2020,2,16,134.824865102962
164,2020,2,17,134.773086664464
165,2020,2,18,134.763126596776
166,2020,2,19,136.724117413725
167,2020,2,20,136.768930712271
168,2020,2,21,134.687186151
169,2020,2,22,134.680990242935
170,2020,2,23,134.743056626214
171,2020,2,24,134.742550051759
172,2020,2,25,134.758264508314
173,2020,2,26,136.781480012341
174,2020,2,27,136.879936530324
175,2020,2,28,134.84552702286
176,2020,3,1,135.360739141926
177,2020,3,2,135.498986873403
178,2020,3,3,135.596797638975
179,2020,3,4,135.544643643732
180,2020,3,5,137.523505168272
181,2020,3,6,137.777407978841
182,2020,3,7,136.006387102458
183,2020,3,8,136.127367632808
184,2020,3,9,136.187418779322
185,2020,3,10,136.188656387665
186,2020,3,11,136.162331226184
187,2020,3,12,138.006215697944
