,neighbourhood,id,latitude,longitude,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
1,Bronx,22792736.1727941,40.8483389246324,-73.8845378676471,87.4806985294118,4.56617647058824,26.0744485294118,2.23069852941176,165.380514705882
2,Brooklyn,18405334.5975402,40.684990937249,-73.9511253559237,123.436194779116,6.01621485943775,24.4083835341365,2.28955823293173,100.455823293173
3,Manhattan,18978261.3404206,40.7650782939252,-73.974594617757,194.023037383178,8.48663551401869,21.2189252336449,12.9166355140187,112.570373831776
4,Queens,21864137.7306122,40.7314812635315,-73.8727255155279,99.3499556344277,5.17036379769299,27.8527062999113,4.07364685004437,144.659627329193
5,Staten Island,21820174.6531165,40.6103191598916,-74.1056511653117,112.910569105691,4.75880758807588,31.2764227642276,2.31978319783198,200.341463414634
