"","latitude","longitude","accommodates","price","minimum_nights","review_scores_rating","review_scores_cleanliness","review_scores_communication"
"latitude",1,0.0712472320352921,-0.0624253424710889,0.0256755086498021,0.0248641452327704,-0.0260102840946416,-0.0210653367380607,-0.022744797117665
"longitude",0.0712472320352921,1,0.01205124706456,-0.216052235820364,-0.0572322576969187,-0.0248345977164973,0.0130477950338539,-0.0257428551778071
"accommodates",-0.0624253424710889,0.01205124706456,1,0.519822068312462,0.00280419977988648,-0.00422512580027396,0.032798474723192,-0.00934703047290464
"price",0.0256755086498021,-0.216052235820364,0.519822068312462,1,0.00766847932462898,0.0547118668088996,0.0780858930779079,0.0143659026523111
"minimum_nights",0.0248641452327704,-0.0572322576969187,0.00280419977988648,0.00766847932462898,1,-0.0163558690838121,-0.0320102203952705,-0.0313047869908003
"review_scores_rating",-0.0260102840946416,-0.0248345977164973,-0.00422512580027396,0.0547118668088996,-0.0163558690838121,1,0.734812596325958,0.693067785300195
"review_scores_cleanliness",-0.0210653367380607,0.0130477950338539,0.032798474723192,0.0780858930779079,-0.0320102203952705,0.734812596325958,1,0.506826804807784
"review_scores_communication",-0.022744797117665,-0.0257428551778071,-0.00934703047290464,0.0143659026523111,-0.0313047869908003,0.693067785300195,0.506826804807784,1
