,Room Type,Neighbourhood,Neighbourhood Group,latitude,longitude,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
49,Entire home/apt,Melrose,Bronx,40.8223033333333,-73.9163116666667,97,3.83333333333333,13.8333333333333,1,116
50,Private room,Melrose,Bronx,40.8203825,-73.915155,62.75,2,1.75,1,60
51,Entire home/apt,Morris Heights,Bronx,40.84661,-73.9160075,105.25,2,5.5,1,17.75
52,Private room,Morris Heights,Bronx,40.8501341666667,-73.91661,72.25,1.83333333333333,36.1666666666667,1.33333333333333,274.916666666667
53,Shared room,Morris Heights,Bronx,40.84718,-73.91378,20,1,9,1,0
54,Entire home/apt,Morris Park,Bronx,40.8502875,-73.85635,103.5,2.25,28.75,2.25,72
55,Private room,Morris Park,Bronx,40.852643,-73.85525,58.6,3.4,15.4,3.4,151.4
56,Shared room,Morris Park,Bronx,40.85661,-73.85281,40,1,2,1,88
57,Entire home/apt,Morrisania,Bronx,40.829404,-73.904374,129,2.4,5.8,1,54.6
58,Private room,Morrisania,Bronx,40.828737,-73.905447,62.3,2.5,15.7,1.5,153.2
59,Shared room,Morrisania,Bronx,40.82489,-73.90969,78,1,0,4,211.333333333333
60,Entire home/apt,Mott Haven,Bronx,40.8108818518519,-73.9207985185185,110,2.48148148148148,35.9259259259259,1.37037037037037,122.814814814815
61,Private room,Mott Haven,Bronx,40.8110921212121,-73.919113030303,71.6666666666667,2.24242424242424,47.6363636363636,1.90909090909091,166.666666666667
62,Entire home/apt,Mount Eden,Bronx,40.84059,-73.92156,150,1,4,1,0
63,Private room,Mount Eden,Bronx,40.842358,-73.91549,40.2,2,83.2,1,163.4
64,Entire home/apt,Mount Hope,Bronx,40.849323,-73.90453,107.9,20,29.3,2.7,169.7
65,Private room,Mount Hope,Bronx,40.847538,-73.906505,47.1,11.9,14.2,1.1,141.6
66,Entire home/apt,North Riverdale,Bronx,40.9033666666667,-73.8982966666667,126.666666666667,13,9,1,168.666666666667
67,Private room,North Riverdale,Bronx,40.9094128571429,-73.8983414285714,59.8571428571429,53.5714285714286,22.1428571428571,2,164.857142857143
68,Entire home/apt,Norwood,Bronx,40.87673,-73.8781416666667,118.833333333333,4.16666666666667,7.16666666666667,1,116.166666666667
69,Private room,Norwood,Bronx,40.87479,-73.8796458333333,66.5,3.66666666666667,19.5,1.25,170
70,Shared room,Norwood,Bronx,40.87077,-73.8817,33,2,8,1,6
71,Private room,Olinville,Bronx,40.884455,-73.86335,102.5,1.5,10,1,94
72,Shared room,Olinville,Bronx,40.882855,-73.86567,25.5,45.5,5,1,251
73,Entire home/apt,Parkchester,Bronx,40.8374,-73.8593055555556,100.444444444444,13.1111111111111,19.3333333333333,1.33333333333333,158
74,Private room,Parkchester,Bronx,40.8347725,-73.8655383333333,63,1.83333333333333,29.4166666666667,1.95833333333333,121.208333333333
75,Shared room,Parkchester,Bronx,40.836535,-73.864055,46.3333333333333,2.5,5.16666666666667,1.5,191
76,Entire home/apt,Pelham Bay,Bronx,40.8495758333333,-73.8321675,115.916666666667,3.16666666666667,25.0833333333333,1.58333333333333,209.916666666667
77,Private room,Pelham Bay,Bronx,40.84769,-73.83295,64.6666666666667,2.33333333333333,47,1,152.333333333333
78,Shared room,Pelham Bay,Bronx,40.850485,-73.83022,100,1,0,1,226
79,Entire home/apt,Pelham Gardens,Bronx,40.8629505882353,-73.8432311764706,112.294117647059,2.23529411764706,43.1176470588235,1.29411764705882,179.058823529412
80,Private room,Pelham Gardens,Bronx,40.86509,-73.842688,69.2,3.6,40.7,2.5,104.9
81,Shared room,Pelham Gardens,Bronx,40.86209,-73.84667,20,1,0,1,5
82,Entire home/apt,Port Morris,Bronx,40.8060625,-73.9252325,129.0625,7.875,22.125,1.625,130.5625
83,Private room,Port Morris,Bronx,40.80481,-73.9230271428571,70.9285714285714,3.85714285714286,31.6428571428571,2,175.642857142857
84,Shared room,Port Morris,Bronx,40.80908875,-73.931151875,38.5625,1.0625,9.4375,7.125,153.25
85,Entire home/apt,Riverdale,Bronx,40.8855283333333,-73.9121283333333,141.5,7.66666666666667,14.6666666666667,1,118.666666666667
86,Private room,Riverdale,Bronx,40.8906375,-73.911455,803.5,2.75,51,2,197
